enterprise_id,industry,city,district,registered_capital,employees,premises_number,date_out_abnormal,date_in_abnormal,cacellation_reason,is_real_premise,frezon_holdings,total_assets,total_liabilities,total_tax,total_debt,sub_enterprises_number,complaints_number_monthly,conciliation_number,complaints_number,judical_auction_amount,is_executee,industry_index,fraud_score,is_financial_black_list
0020,信息传输业*,唐山市,路南区,3000000,7769,1,,,2,1,0.0,2454157,0,198276,0,0,1,0,4,0,0,1316,30,1
0021,批发业,衡水市,饶阳县,98000000,6470,1,2018-10-23 00:00:00,2017-07-06 00:00:00,3,1,9800000.0,108674291,0,19293923,0,0,1,3,5,21278413,1,1482,93,1
0022,其他未列明行业*,廊坊市,大厂回族自治县,51000000,6963,1,,,3,1,0.0,47322071,21955205,9614179,573859,0,0,0,0,0,1,1021,35,0
0023,零售业,衡水市,冀州区,95000000,6668,1,,,2,0,0.0,109208164,0,6284275,0,1,7,0,7,0,0,1268,5,1
0024,仓储业,保定市,定州市,58000000,7637,1,,,2,0,0.0,58465507,0,5665954,0,9,1,4,12,0,0,1285,1,0
0025,物业管理,张家口市,怀安县,74000000,4911,3,,,1,0,64380000.0,76073406,0,7584839,0,7,1,3,8,0,1,1279,22,0
0026,建筑业,邢台市,临城县,19000000,4120,1,2017-12-20 00:00:00,2016-08-13 00:00:00,0,1,0.0,18602276,4416166,3121743,385941,2,0,0,0,0,0,1480,49,1
0027,批发业,衡水市,冀州区,88000000,573,1,,,4,0,0.0,104242543,33940301,2807274,1353014,9,0,0,0,17605106,1,1398,98,0
0028,信息传输业*,秦皇岛市,北戴河区,49000000,2157,1,,,2,1,0.0,40822189,0,1010147,0,9,1,0,10,0,1,1489,24,0
0029,交通运输业*,邢台市,南和县,5000000,3,1,,,1,1,2800000.0,5275641,1008927,341781,55625,4,6,10,12,0,0,1433,81,1
0030,租赁和商务服务业,保定市,徐水区,67000000,4835,1,2018-03-11 00:00:00,2017-12-03 00:00:00,0,0,0.0,77405797,0,12929407,0,9,0,0,0,0,0,1210,95,0
0031,住宿业,邯郸市,魏县,38000000,1693,1,2016-07-21 00:00:00,2015-12-11 00:00:00,4,1,0.0,37651823,17921668,7820291,953176,1,0,0,0,0,1,1074,73,0
0032,建筑业,唐山市,迁安市,64000000,8228,1,,,4,0,0.0,54484074,226201,7690787,5888,0,0,0,0,0,0,1027,48,0
0033,物业管理,秦皇岛市,昌黎县,51000000,8946,1,,,4,1,0.0,53453430,3849274,2166099,45131,2,1,0,1,0,1,1206,95,0
0034,仓储业,邯郸市,成安县,22000000,5577,2,2018-03-15 00:00:00,2017-02-16 00:00:00,4,1,0.0,18897695,0,2522150,0,6,1,0,3,0,1,1397,81,0
0035,批发业,衡水市,武强县,82000000,1702,1,,,4,1,0.0,66853734,0,12837075,0,0,0,0,0,0,0,1065,12,1
0036,建筑业,石家庄市,平山县,59000000,4175,17,,,2,0,0.0,52787272,4283513,9048497,5451,3,0,0,0,0,0,1079,10,1
0037,其他未列明行业*,沧州市,河间市,56000000,2041,1,,,2,0,0.0,53370441,0,1143578,0,1,9,23,36,0,0,1394,89,0
0038,物业管理,廊坊市,安次区,5000000,8172,1,,,3,1,0.0,4592362,1182857,846548,96203,1,5,6,15,0,0,1108,3,1
0039,租赁和商务服务业,衡水市,深州市,56000000,4276,1,2016-05-14 00:00:00,2016-02-13 00:00:00,3,1,0.0,52723778,22198404,12690706,643115,9,1,1,10,0,0,1149,29,0
0040,其他未列明行业*,廊坊市,大城县,7000000,3103,16,2019-03-08 00:00:00,2015-04-02 00:00:00,0,1,0.0,6413947,0,138086,0,6,0,0,0,0,1,1261,96,1
0041,餐饮业,承德市,宽城满族自治县,78000000,8799,1,,,3,0,0.0,88988432,11051316,10629431,477873,3,0,0,0,0,0,1049,27,0
0042,工业*,张家口市,下花园区,18000000,693,1,,,3,0,0.0,19536861,0,1912230,0,3,5,27,30,9184587,1,1495,34,1
0043,工业*,张家口市,桥东区,14000000,3870,1,2017-06-24 00:00:00,2015-11-28 00:00:00,3,1,0.0,14713640,4099567,3198683,404746,1,0,0,0,0,0,1313,25,1
0044,仓储业,衡水市,深州市,21000000,3425,10,,,1,1,0.0,24896199,0,2909876,0,1,1,0,1,0,0,1450,66,1
0045,交通运输业*,廊坊市,固安县,40000000,3039,1,,,3,0,0.0,46273688,0,2392363,0,1,1,4,7,0,1,1355,17,0
0046,信息传输业*,张家口市,怀安县,76000000,9472,1,,,0,0,0.0,82789017,0,14161171,0,2,2,8,14,0,0,1294,93,0
0047,农、林、牧、渔业,秦皇岛市,北戴河区,75000000,2705,1,2019-02-13 00:00:00,2016-06-02 00:00:00,4,0,0.0,76764818,0,6392358,0,0,8,63,72,27775060,1,1407,17,0
0048,建筑业,衡水市,武强县,90000000,8519,1,,,4,0,0.0,78261373,0,5545825,0,7,4,11,48,0,1,1477,87,0
0049,仓储业,秦皇岛市,北戴河区,68000000,2435,1,,2017-04-14 00:00:00,1,0,0.0,59562600,0,4594725,0,0,1,8,9,29712306,1,1309,9,0
0050,建筑业,邢台市,临西县,71000000,5189,19,,,4,0,0.0,76793772,6686658,12202322,134126,0,5,18,50,8607848,1,1348,23,0
0051,建筑业,邯郸市,大名县,98000000,824,1,,,4,1,0.0,85943721,0,15819162,0,4,1,1,5,0,0,1065,14,1
0052,餐饮业,衡水市,武强县,95000000,2139,8,,,2,0,0.0,89710476,2504251,1706877,219929,5,4,20,24,42955063,1,1418,39,1
0053,其他未列明行业*,沧州市,孟村回族自治县,32000000,4285,1,2017-04-21 00:00:00,2016-08-28 00:00:00,1,0,0.0,33608096,0,223647,0,0,2,3,6,0,1,1407,5,1
0054,零售业,石家庄市,藁城区,12000000,3560,4,,,4,1,0.0,10470579,0,1396481,0,1,0,0,0,0,1,1180,98,1
0055,交通运输业*,承德市,丰宁满族自治县,12000000,9371,1,,,1,0,0.0,12093793,0,2897026,0,0,0,0,0,0,0,1223,54,0
0056,批发业,张家口市,阳原县,58000000,8596,1,,,3,0,0.0,55816407,0,11957118,0,0,0,0,0,0,0,1303,82,0
0057,交通运输业*,张家口市,康保县,51000000,7578,1,,,0,1,0.0,43357760,0,8871345,0,0,7,1,77,0,0,1351,18,1
0058,交通运输业*,张家口市,尚义县,38000000,2165,1,,,2,0,0.0,37636418,0,5058696,0,0,0,0,0,0,1,1310,58,0
0059,住宿业,秦皇岛市,海港区,21000000,5016,17,2017-10-06 00:00:00,2015-05-12 00:00:00,1,1,0.0,21941681,0,263866,0,0,5,33,40,0,1,1304,32,1
0060,零售业,沧州市,任丘市,2000000,1602,1,2019-02-19 00:00:00,2019-01-11 00:00:00,3,1,0.0,2266486,0,495511,0,4,2,13,24,0,1,1176,79,0
0061,交通运输业*,邢台市,邢台县,37000000,8064,1,,,4,0,0.0,36169863,17941660,758354,1751681,6,3,10,36,0,0,1058,6,1
0062,零售业,沧州市,河间市,4000000,4805,1,,,1,0,0.0,3783462,0,139976,0,1,1,9,10,0,0,1400,64,1
0063,农、林、牧、渔业,邯郸市,鸡泽县,68000000,5764,1,2016-11-25 00:00:00,2014-08-08 00:00:00,1,1,0.0,61268301,0,3801992,0,7,0,0,0,0,1,1343,91,1
0064,餐饮业,秦皇岛市,昌黎县,13000000,196,8,,2015-07-09 00:00:00,2,1,0.0,11717723,2908947,2124861,182331,9,0,0,0,5027734,0,1251,83,0
0065,仓储业,邢台市,任县,62000000,5600,1,2018-06-15 00:00:00,2016-10-27 00:00:00,2,1,0.0,59445867,0,5558408,0,9,1,0,10,0,0,1156,80,0
0066,信息传输业*,邢台市,邢台县,79000000,3525,1,,,0,0,0.0,70239512,0,5562713,0,1,7,17,21,0,1,1183,95,1
0067,邮政业,石家庄市,长安区,3000000,7166,2,,,0,1,0.0,2929553,848344,470051,79302,0,5,19,35,0,0,1445,64,1
0068,零售业,衡水市,饶阳县,69000000,1512,1,2019-04-08 00:00:00,2019-03-27 00:00:00,4,1,0.0,60773095,0,6161465,0,9,1,0,1,27351734,1,1330,19,0
0069,批发业,衡水市,景县,56000000,5313,1,,,0,1,0.0,62379275,122104,2731906,1668,0,7,11,70,0,0,1327,56,1
0070,邮政业,承德市,平泉市,27000000,92,1,,,3,1,0.0,21692049,0,1743726,0,7,0,0,0,0,0,1472,24,0
0071,房地产开发经营,秦皇岛市,北戴河区,9000000,6293,1,,,3,0,0.0,9065786,0,789818,0,0,0,0,0,3384880,0,1346,81,1
0072,住宿业,张家口市,桥西区,97000000,8111,18,,,1,1,0.0,84960751,0,8009084,0,4,1,0,1,0,0,1251,96,0
0073,住宿业,邯郸市,广平县,63000000,2138,1,2018-07-31 00:00:00,2017-08-15 00:00:00,1,1,0.0,74434398,18738682,3923494,841737,0,4,26,32,0,0,1030,89,0
0074,零售业,保定市,顺平县,63000000,5215,1,,,1,1,0.0,67489007,0,14631289,0,4,7,43,77,25280291,0,1237,24,0
0075,物业管理,邢台市,平乡县,61000000,9693,1,2018-08-11 00:00:00,2017-02-28 00:00:00,4,1,0.0,56083155,14710000,11094524,557567,4,1,1,2,0,1,1227,43,0
0076,邮政业,保定市,清苑区,62000000,4350,1,,,1,0,0.0,68141183,0,13959121,0,8,2,3,8,25191706,0,1295,39,0
0077,软件和信息技术服务业,石家庄市,晋州市,33000000,7030,2,,,3,1,0.0,30725399,12176490,4422190,941138,0,1,3,4,0,1,1220,43,0
0078,租赁和商务服务业,邢台市,隆尧县,49000000,2522,1,2017-03-07 00:00:00,2016-02-14 00:00:00,3,0,0.0,42017410,0,4684316,0,0,5,35,50,0,1,1466,50,0
0079,信息传输业*,保定市,满城区,74000000,2621,1,2017-02-13 00:00:00,2017-02-04 00:00:00,4,1,0.0,74460454,0,7157247,0,5,1,3,10,13390988,0,1251,100,0
0080,软件和信息技术服务业,秦皇岛市,抚宁区,97000000,2340,1,2016-08-12 00:00:00,2016-06-26 00:00:00,4,1,0.0,84672876,31646462,13614411,1292816,1,1,1,7,0,0,1017,2,1
0081,邮政业,邢台市,新河县,75000000,7725,1,,,1,0,0.0,76839684,0,17552620,0,10,0,0,0,0,0,1363,43,0
0082,餐饮业,邯郸市,丛台区,13000000,4022,11,,,3,1,0.0,12368672,5840077,1810623,314158,0,5,7,15,0,0,1092,21,0
0083,房地产开发经营,承德市,隆化县,50000000,3450,1,,,4,0,0.0,46476496,598334,662118,33039,0,0,0,0,0,1,1086,100,1
0084,餐饮业,唐山市,乐亭县,93000000,2233,1,,,1,1,0.0,83355789,9238556,16012120,563589,2,4,5,16,0,1,1433,67,0
0085,餐饮业,保定市,高阳县,87000000,1474,1,,,0,0,0.0,79009975,0,10775674,0,1,3,22,27,0,0,1401,58,1
0086,物业管理,邢台市,内丘县,77000000,4478,1,,,4,1,0.0,65763294,2922294,15464698,77499,7,9,57,63,0,0,1184,98,1
0087,交通运输业*,秦皇岛市,青龙满族自治县,35000000,7002,1,2018-05-27 00:00:00,2016-12-29 00:00:00,3,0,0.0,36450847,0,1953938,0,5,3,5,33,0,1,1077,17,1
0088,建筑业,保定市,定州市,32000000,3416,1,,,1,0,0.0,31031940,1827301,3509788,58941,7,0,0,0,0,0,1277,19,1
0089,信息传输业*,衡水市,景县,18000000,3974,1,,,0,0,0.0,15894908,0,3083318,0,6,0,0,0,0,0,1254,56,1
0090,租赁和商务服务业,衡水市,武邑县,58000000,9708,9,,,1,1,0.0,53691709,9387842,4722412,781555,0,0,0,0,0,0,1410,6,0
0091,仓储业,承德市,承德县,6000000,9019,1,2017-10-07 00:00:00,2015-04-13 00:00:00,1,0,0.0,4891945,0,763839,0,1,0,0,0,0,0,1485,62,0
0092,住宿业,唐山市,迁西县,73000000,1064,1,,,3,1,0.0,63456576,6550609,11020238,102970,0,0,0,0,21961873,1,1461,100,0
0093,软件和信息技术服务业,张家口市,赤城县,26000000,2258,16,,,3,1,0.0,28555352,7553670,3665623,162822,0,5,3,5,0,0,1066,48,1
0094,信息传输业*,秦皇岛市,山海关区,94000000,5662,1,,,2,0,0.0,88592934,0,19025757,0,3,1,0,5,0,0,1026,69,1
0095,零售业,唐山市,玉田县,47000000,9031,1,,,1,0,21620000.0,42120235,0,5802783,0,0,7,67,70,0,1,1366,43,0
0096,租赁和商务服务业,衡水市,深州市,51000000,7935,1,,,4,1,0.0,53048947,10399500,4335135,713138,0,7,16,63,0,1,1486,51,1
0097,农、林、牧、渔业,承德市,围场满族蒙古族自治县,54000000,6600,1,2018-08-23 00:00:00,2017-07-18 00:00:00,0,1,0.0,46530294,0,3926056,0,1,0,0,0,0,0,1031,85,0
0098,软件和信息技术服务业,邯郸市,邱县,93000000,297,1,2019-04-25 00:00:00,2017-09-05 00:00:00,3,1,0.0,98168794,32732765,8378488,479163,9,2,0,2,0,1,1047,90,1
0099,软件和信息技术服务业,张家口市,下花园区,79000000,2688,1,,,1,0,0.0,83511008,0,6367044,0,5,0,0,0,0,0,1120,28,0
0100,批发业,石家庄市,桥西区,83000000,5337,1,,,1,0,0.0,86189036,0,19845557,0,6,0,0,0,0,0,1049,77,1
0101,餐饮业,承德市,围场满族蒙古族自治县,46000000,8127,1,,,2,1,0.0,45887374,0,6468638,0,1,0,0,0,0,1,1339,72,0
0102,房地产开发经营,秦皇岛市,卢龙县,28000000,756,1,2017-05-23 00:00:00,2017-02-08 00:00:00,4,0,0.0,31444308,0,3609784,0,6,3,14,18,10794659,1,1346,45,1
0103,住宿业,廊坊市,固安县,95000000,4482,1,2018-05-28 00:00:00,2015-05-31 00:00:00,4,0,0.0,108203701,0,9937858,0,2,1,0,2,12845723,1,1324,89,1
0104,零售业,廊坊市,霸州市,43000000,3533,1,,,4,0,0.0,46941772,0,8694119,0,5,5,8,15,0,1,1295,57,0
0105,物业管理,保定市,徐水区,44000000,380,1,2019-04-08 00:00:00,2019-02-14 00:00:00,2,1,0.0,52061411,0,3081594,0,0,1,4,8,8904136,0,1213,45,0
0106,房地产开发经营,沧州市,盐山县,47000000,3098,1,,,4,1,0.0,49201068,0,5821081,0,0,0,0,0,0,0,1267,41,1
0107,仓储业,沧州市,黄骅市,50000000,3428,1,2016-10-03 00:00:00,2015-09-22 00:00:00,1,0,0.0,54160535,0,9042681,0,6,3,1,3,0,1,1085,34,0
0108,房地产开发经营,邢台市,沙河市,56000000,1550,1,,,1,1,0.0,45752649,0,7785955,0,9,0,0,0,0,0,1414,79,1
0109,餐饮业,廊坊市,固安县,22000000,8433,1,,,0,0,0.0,19636159,3564112,3529470,213605,1,4,14,36,0,0,1140,84,0
0110,租赁和商务服务业,承德市,承德县,20000000,3222,1,,,4,1,0.0,20189852,0,4992628,0,0,4,3,12,0,0,1194,1,1
0111,物业管理,邯郸市,复兴区,52000000,4508,1,,,1,1,0.0,51800187,25755264,4116157,530589,7,1,0,7,0,1,1103,15,1
0112,房地产开发经营,邢台市,临西县,18000000,3538,11,2014-12-05 00:00:00,2014-04-11 00:00:00,4,0,0.0,17764320,2874364,415651,97024,0,9,31,36,7732854,1,1185,29,1
0113,房地产开发经营,沧州市,吴桥县,68000000,993,1,,,1,1,0.0,55333578,0,4137312,0,4,9,3,36,7160349,0,1152,48,0
0114,房地产开发经营,衡水市,故城县,10000000,4164,9,,2015-08-23 00:00:00,3,0,2200000.0,10267942,0,1223772,0,9,0,0,0,3005499,1,1493,3,0
0115,住宿业,邯郸市,鸡泽县,14000000,5470,1,2018-07-02 00:00:00,2016-12-06 00:00:00,0,0,0.0,13495813,0,1137140,0,0,0,0,0,0,1,1222,15,1
0116,仓储业,沧州市,东光县,17000000,5368,11,,,3,0,0.0,18982490,1600873,1925541,141008,1,2,1,2,0,0,1356,0,1
0117,信息传输业*,唐山市,遵化市,18000000,5968,1,,,1,0,0.0,15583148,6110817,3758840,555048,9,0,0,0,0,0,1330,68,1
0118,住宿业,秦皇岛市,卢龙县,67000000,2761,18,,,2,1,0.0,72320500,0,1723623,0,1,5,14,20,0,0,1136,12,0
0119,其他未列明行业*,沧州市,黄骅市,89000000,2770,1,,,4,1,0.0,86535275,23266394,15592381,522857,0,1,5,8,23085166,1,1327,65,1
0120,住宿业,秦皇岛市,青龙满族自治县,48000000,2666,1,,,3,0,0.0,54092901,0,9628643,0,0,9,12,45,17701198,0,1484,31,1
0121,物业管理,廊坊市,文安县,31000000,6593,16,,,2,1,0.0,33870953,0,2160415,0,4,3,5,6,0,0,1238,96,0
0122,建筑业,石家庄市,辛集市,65000000,8815,1,2019-01-24 00:00:00,2016-12-27 00:00:00,0,1,0.0,72960178,24018938,12990945,1872240,0,1,5,9,0,1,1402,58,0
0123,物业管理,张家口市,下花园区,61000000,8162,1,,,4,0,0.0,61497486,458332,5033222,25502,1,1,4,6,0,0,1455,16,1
0124,零售业,秦皇岛市,北戴河区,88000000,2634,1,,,4,1,0.0,79618858,7391759,19392949,220277,1,0,0,0,0,1,1007,64,0
0125,邮政业,秦皇岛市,卢龙县,93000000,4632,1,,,0,1,0.0,83017442,26831866,16672817,484093,2,0,0,0,0,0,1047,9,0
0126,交通运输业*,保定市,满城区,69000000,5356,12,,,3,0,0.0,66274516,4158659,14509340,244997,9,1,0,2,0,0,1284,25,1
0127,交通运输业*,承德市,鹰手营子矿区,55000000,4204,1,2018-11-23 00:00:00,2015-05-13 00:00:00,3,0,0.0,55482214,4911824,7637070,355452,2,0,0,0,0,1,1041,25,0
0128,建筑业,邯郸市,磁县,71000000,345,1,,,2,0,0.0,63607436,21641726,7557541,1880849,3,0,0,0,0,1,1193,34,1
0129,其他未列明行业*,承德市,围场满族蒙古族自治县,42000000,1177,1,,,2,0,0.0,50028995,0,1573774,0,1,0,0,0,0,0,1259,17,1
0130,邮政业,唐山市,丰润区,48000000,8265,1,,,2,0,0.0,48854361,0,8799381,0,0,0,0,0,19321409,1,1142,58,0
0131,信息传输业*,邢台市,威县,27000000,904,19,,,4,1,0.0,28770997,0,2977124,0,2,0,0,0,0,0,1093,96,1
0132,邮政业,廊坊市,永清县,89000000,9783,1,,,0,0,0.0,80387336,36907210,5558612,2347336,0,5,41,45,37801532,0,1360,63,0
0133,软件和信息技术服务业,衡水市,冀州区,95000000,6840,1,,,3,1,0.0,110663936,0,18682773,0,10,0,0,0,0,0,1244,83,0
0134,住宿业,唐山市,滦南县,67000000,5111,1,,,0,0,44890000.0,62699053,0,1449847,0,8,2,1,2,0,1,1168,20,1
0135,其他未列明行业*,邢台市,威县,700000,4175,1,2018-10-21 00:00:00,2015-12-29 00:00:00,0,0,0.0,561008,11175,37956,178,2,0,0,0,0,1,1479,66,1
0136,其他未列明行业*,邯郸市,复兴区,65000000,2037,1,,,1,1,0.0,64620528,22229385,11234525,2159550,2,0,0,0,0,0,1323,92,0
0137,批发业,唐山市,滦南县,27000000,4622,1,,,4,1,0.0,31854983,9014039,4758875,743681,2,1,0,1,0,0,1200,77,0
0138,建筑业,邯郸市,肥乡区,34000000,7047,7,2019-05-31 00:00:00,2018-12-28 00:00:00,4,1,0.0,37783359,0,8340714,0,1,0,0,0,0,1,1125,42,1
0139,餐饮业,张家口市,怀来县,9000000,2316,1,2017-01-01 00:00:00,2015-06-07 00:00:00,1,0,0.0,8531471,0,1538469,0,0,4,1,44,0,0,1156,85,0
0140,住宿业,邢台市,平乡县,88000000,4565,1,2019-02-14 00:00:00,2015-12-05 00:00:00,4,0,0.0,76796759,7991375,8235505,43459,0,0,0,0,14994807,0,1470,14,0
0141,餐饮业,张家口市,崇礼区,300000,7740,15,,,0,0,0.0,276350,0,8706,0,1,1,1,2,109466,0,1334,29,1
0142,租赁和商务服务业,廊坊市,三河市,24000000,4889,9,,,0,0,0.0,28548853,0,6645402,0,1,5,24,45,0,1,1014,7,1
0143,餐饮业,邯郸市,大名县,35000000,7573,1,,,4,0,0.0,35954991,4446952,1853988,194189,3,0,0,0,0,0,1005,3,0
0144,物业管理,邢台市,南和县,16000000,7071,3,,,3,0,0.0,13902790,0,792759,0,0,0,0,0,4764494,1,1098,85,1
0145,批发业,石家庄市,裕华区,38000000,5496,1,,,0,0,0.0,39335497,0,8136672,0,0,1,1,8,0,0,1071,28,0
0146,其他未列明行业*,邯郸市,磁县,22000000,1679,1,,,3,0,13860000.0,22803784,0,4289240,0,0,0,0,0,0,0,1349,39,0
0147,信息传输业*,唐山市,路南区,26000000,7621,1,,,2,0,0.0,27344419,0,4090461,0,1,0,0,0,0,1,1030,67,1
0148,住宿业,衡水市,饶阳县,73000000,7650,1,,,4,0,0.0,60451577,0,7289998,0,5,3,2,15,20125742,1,1020,82,0
0149,餐饮业,石家庄市,裕华区,1000000,3858,1,2016-06-05 00:00:00,2015-11-22 00:00:00,3,1,0.0,1010744,292178,18601,5803,6,1,7,9,0,1,1187,10,0
0150,工业*,承德市,围场满族蒙古族自治县,26000000,3970,1,,,1,1,0.0,23488296,4287452,2611322,373759,1,5,11,30,0,1,1139,17,0
0151,软件和信息技术服务业,保定市,易县,30000000,6588,1,,,4,1,26400000.0,25645948,0,5989796,0,9,5,1,5,0,1,1299,27,0
0152,交通运输业*,唐山市,滦南县,88000000,7468,1,2018-08-23 00:00:00,2016-11-30 00:00:00,2,1,56320000.0,102744803,25337341,11166799,622935,8,0,0,0,0,0,1353,71,1
0153,零售业,廊坊市,大厂回族自治县,75000000,5574,1,,,2,1,0.0,65103509,0,4908894,0,4,9,35,36,0,0,1305,5,1
0154,其他未列明行业*,张家口市,桥东区,85000000,4827,15,2018-04-04 00:00:00,2015-05-07 00:00:00,3,0,0.0,92233476,0,6622244,0,1,5,4,20,0,0,1385,71,0
0155,租赁和商务服务业,廊坊市,三河市,10000000,3264,1,,,4,1,0.0,10779457,0,1469225,0,0,0,0,0,0,1,1469,29,1
0156,住宿业,秦皇岛市,卢龙县,22000000,4585,1,2019-02-16 00:00:00,2017-12-15 00:00:00,2,0,0.0,18922361,0,3115488,0,6,0,0,0,3607270,0,1266,2,1
0157,交通运输业*,邯郸市,临漳县,7000000,6149,7,,,3,0,0.0,6078324,320193,617092,9359,0,1,2,3,1771761,1,1027,69,1
0158,邮政业,保定市,清苑区,57000000,5602,1,2017-03-22 00:00:00,2017-02-23 00:00:00,0,1,23940000.0,66407094,0,13183865,0,6,0,0,0,0,0,1356,7,0
0159,餐饮业,秦皇岛市,山海关区,63000000,8337,1,,,1,0,0.0,54259730,32293,10618069,1952,9,0,0,0,0,1,1479,99,1
0160,零售业,承德市,丰宁满族自治县,95000000,9305,1,,,2,1,0.0,86799463,0,4797496,0,0,4,22,28,0,0,1257,91,0
0161,其他未列明行业*,石家庄市,裕华区,10000000,5757,1,,,2,1,0.0,8833453,0,765652,0,0,0,0,0,0,1,1173,81,1
0162,仓储业,衡水市,桃城区,94000000,2668,1,2016-12-17 00:00:00,2016-11-13 00:00:00,4,1,0.0,105243339,0,1235168,0,4,6,17,24,20404718,0,1254,38,1
0163,建筑业,沧州市,献县,42000000,1692,8,,,3,0,0.0,34473713,7344246,1039230,429324,1,3,10,36,0,1,1377,30,1
0164,零售业,唐山市,遵化市,43000000,3941,1,,,2,1,0.0,35817458,0,2759500,0,0,1,2,5,0,1,1284,17,0
0165,建筑业,石家庄市,高邑县,20000000,9204,1,,,4,1,0.0,22325548,9705255,1918471,697986,1,1,0,2,0,0,1028,56,1
0166,零售业,秦皇岛市,卢龙县,66000000,4838,1,2017-08-10 00:00:00,2015-02-25 00:00:00,4,1,0.0,61131520,20155006,6556043,328683,2,0,0,0,0,1,1328,11,1
0167,仓储业,石家庄市,灵寿县,18000000,9647,1,,,2,1,0.0,16663508,0,1466281,0,1,1,2,3,0,1,1026,62,1
0168,住宿业,邯郸市,肥乡区,42000000,4628,1,,,4,0,0.0,38670737,11095355,6133918,599674,0,3,22,27,0,1,1417,66,1
0169,建筑业,石家庄市,井陉县,22000000,2672,1,2017-03-03 00:00:00,2015-03-15 00:00:00,3,0,0.0,24653999,11492209,391243,1053692,1,3,13,27,0,0,1351,33,0
0170,租赁和商务服务业,廊坊市,大城县,16000000,190,1,,,3,1,0.0,17405820,7959032,3852350,317033,0,2,14,20,0,1,1255,49,1
0171,农、林、牧、渔业,张家口市,阳原县,58000000,3964,1,,,0,1,0.0,66263150,0,6381180,0,0,0,0,0,0,0,1159,86,1
0172,住宿业,秦皇岛市,北戴河区,63000000,6366,1,,,4,1,0.0,56286054,0,7273298,0,6,0,0,0,19854307,1,1162,96,1
0173,信息传输业*,衡水市,武邑县,93000000,6290,17,,,3,0,0.0,95168363,0,13667137,0,1,3,15,27,0,0,1443,87,1
0174,建筑业,石家庄市,长安区,61000000,83,1,,,4,1,0.0,70153654,0,984252,0,1,0,0,0,15104812,1,1439,56,0
0175,零售业,廊坊市,三河市,72000000,3587,1,,,3,1,0.0,85845931,19442458,15063285,814775,1,5,28,35,0,1,1179,62,0
